accelX,accelY,accelZ
0.07128906,-0.9783325,-0.4048462
0.15966797,-1.1401978,-0.0491333
-0.06689453,-0.6621704,0.08660889
-0.05102539,-0.54156494,0.097351074
0.017333984,-0.737854,0.11444092
0.03149414,-1.2891235,0.13104248
-0.14111328,-1.2769165,-0.27008057
-0.25170898,-1.5427856,-0.18878174
0.19824219,-1.102356,-0.10211182
-0.1027832,-0.6951294,-0.019104004
-0.09106445,-0.5142212,-0.120910645
-0.063964844,-0.66192627,-0.10357666
-0.24121094,-1.359436,-0.046691895
-0.11254883,-1.3821411,-0.40631104
0.13256836,-1.2781372,-0.19293213
0.42944336,-1.0999146,-0.1519165
-0.16113281,-0.84552,0.04144287
-0.07836914,-0.5852661,0.07928467
-0.050048828,-0.6873169,0.061462402
0.076416016,-1.1367798,0.08465576
0.05517578,-1.3501587,-0.04840088
-0.19335938,-1.411438,-0.12945557
0.119140625,-0.95147705,-0.13043213
-0.20654297,-0.6729126,-0.012268066
-0.07714844,-0.5244751,-0.10992432
-0.08154297,-0.79571533,-0.07965088
-0.23901367,-1.548645,-0.013977051
-0.23217773,-1.3442993,-0.2979126
0.5888672,-1.1157837,-0.1296997
0.07421875,-0.9126587,0.010437012
-0.060302734,-0.74542236,0.06341553
-0.078125,-0.55792236,0.043151855
-0.13012695,-0.8550415,0.097595215
0.11206055,-1.3638306,0.26556396
-0.07421875,-1.4968872,-0.14630127
-0.2685547,-1.117981,-0.33355713
-0.018554688,-0.9204712,-0.11651611
-0.25561523,-0.5215454,-0.06085205
-0.09838867,-0.6799927,-0.09259033
-0.19873047,-0.8621216,-0.101379395
-0.24047852,-1.2747192,-0.09893799
-0.21777344,-1.5706177,-0.18341064
0.6027832,-1.0535278,-0.23980713
-0.14111328,-0.9522095,-0.19683838
-0.079589844,-0.6848755,-0.014465332
0.20239258,-1.0586548,-0.29156494
0.32055664,-0.9534302,-0.08770752
-0.3154297,-0.6836548,0.09613037
0.13452148,-0.63360596,-0.07720947
-0.047851562,-1.1231079,0.19989014
0.00390625,-1.0293579,0.101745605
0.007080078,-1.3052368,-0.022277832
0.034179688,-1.1668091,-0.15118408
0.20263672,-0.92144775,-0.16241455
-0.107177734,-0.7737427,-0.0413208
-0.088134766,-0.66290283,-0.057922363
-0.21313477,-0.79156494,-0.07696533
-0.099365234,-1.6016235,0.062927246
0.24731445,-1.173645,-0.43170166
-0.072753906,-1.1345825,-0.14215088
0.17333984,-0.8945923,-0.026672363
-0.013671875,-0.7515259,0.090270996
-0.029052734,-0.70880127,0.16766357
-0.0034179688,-0.92144775,0.14764404
0.03564453,-1.2146606,0.08416748
0.118896484,-1.2754517,-0.053771973
-0.103759766,-1.0266724,-0.117004395
-0.24121094,-0.81695557,-0.012268066
-0.012451172,-0.5112915,-0.08721924
-0.118652344,-0.753479,-0.012268066
-0.27685547,-1.1599731,-0.070129395
-0.25170898,-1.4727173,-0.24884033
0.4189453,-1.2854614,-0.26446533
0.14624023,-1.0081177,-0.15411377
-0.18481445,-0.81036377,0.07122803
-0.048339844,-0.53326416,0.01776123
-0.046142578,-0.7727661,0.09442139
0.009521484,-1.1521606,0.03656006
-0.103271484,-1.4653931,-0.045959473
-0.19897461,-1.2622681,-0.15045166
0.02734375,-1.0095825,-0.13140869
-0.15112305,-0.6765747,-0.05206299
-0.16479492,-0.5601196,-0.059631348
-0.084228516,-0.75177,-0.06085205
-0.2397461,-1.296936,-0.039123535
-0.2849121,-1.4568481,-0.27789307
0.47460938,-1.1260376,-0.30255127
0.07080078,-0.8657837,-0.19830322
-0.08666992,-0.7715454,0.043640137
-0.059326172,-0.61798096,0.08099365
-0.11987305,-0.84942627,0.14154053
0.095214844,-1.2588501,0.10345459
-0.2705078,-1.4509888,-0.15924072
-0.21801758,-1.15802,-0.17095947
0.10522461,-0.9612427,-0.09283447
-0.14013672,-0.6218872,-0.026672363
-0.16381836,-0.6152954,-0.10479736
0.07348633,-1.4085083,-0.30303955
0.14086914,-1.0645142,-0.20928955
0.027832031,-0.84625244,-0.14361572
0.00024414062,-0.7888794,0.062194824
-0.068603516,-0.548645,0.03704834
-0.059814453,-0.8740845,0.048034668
0.0075683594,-1.357727,0.21942139
0.07885742,-1.4004517,-0.1482544
-0.118652344,-1.0725708,-0.113342285
0.1652832,-0.99005127,-0.06793213
-0.09667969,-0.6135864,-0.04498291
-0.15209961,-0.6272583,-0.07208252
-0.23730469,-1.039856,-0.053771973
-0.20019531,-1.460022,-0.0569458
0.328125,-1.234436,-0.29693604
0.083740234,-1.0615845,-0.10626221
-0.044189453,-0.82818604,0.034118652
-0.0078125,-0.5952759,0.07537842
0.0014648438,-0.73272705,-0.010803223
0.037597656,-1.2522583,0.08856201
-0.16015625,-1.2835083,-0.17047119
0.05834961,-1.2466431,-0.19781494
0.032714844,-0.97052,-0.13555908
-0.12646484,-0.6709595,-0.044006348
-0.08691406,-0.6585083,-0.10235596
-0.10473633,-0.88067627,-0.02178955
-0.17236328,-1.2046509,-0.112854004
-0.19702148,-1.3430786,-0.44976807
0.13085938,-1.3233032,-0.15826416
0.38842773,-0.9902954,-0.109680176
-0.1328125,-0.69732666,0.0018920898
0.0036621094,-0.5576782,0.002380371
-0.037353516,-0.98760986,0.04852295
0.12695312,-1.250061,0.11541748
-0.18945312,-1.3013306,-0.20489502
-0.2397461,-1.1380005,-0.20343018
-0.04736328,-1.0842896,-0.12872314
-0.109375,-0.6946411,-0.07525635
-0.20727539,-0.7022095,-0.14117432
-0.047851562,-0.89068604,-0.014465332
-0.28393555,-1.1306763,-0.074279785
-0.38256836,-1.4238892,-0.12188721
0.44311523,-1.3504028,-0.28619385
-0.017333984,-0.93634033,-0.20489502
-0.083496094,-0.88067627,0.013122559
-0.018798828,-0.58917236,0.055114746
-0.033447266,-0.7798462,0.062438965
0.06323242,-1.2070923,0.13543701
0.0073242188,-1.2236938,-0.25030518
-0.22949219,-1.4138794,-0.16827393
0.19677734,-0.93829346,-0.045959473
-0.13476562,-0.6465454,-0.11456299
-0.07495117,-0.67926025,-0.14068604
-0.15527344,-0.8262329,-0.13995361
-0.22583008,-1.2398071,-0.16217041
-0.2512207,-1.2654419,-0.10601807
0.16699219,-0.9534302,-0.09649658
-0.14941406,-0.66485596,-0.05255127
-0.13500977,-0.6367798,-0.054992676
-0.16357422,-0.85357666,-0.13165283
-0.19091797,-1.4107056,-0.02520752
0.26416016,-1.3865356,-0.37530518
-0.018798828,-1.1314087,-0.16192627
0.080078125,-0.86553955,-0.020568848
-0.11767578,-0.647522,0.029724121
-0.0034179688,-0.6409302,0.0119018555
-0.00024414062,-1.003479,0.05218506
0.05493164,-1.3535767,0.18011475
0.10620117,-1.2573853,-0.3484497
-0.16503906,-1.1480103,-0.14385986
-0.21044922,-0.71099854,-0.016662598
-0.08300781,-0.64556885,-0.13922119
-0.107910156,-0.8909302,-0.09698486
-0.16064453,-1.1533813,-0.13677979
-0.16040039,-1.3023071,-0.17120361
0.55126953,-1.2693481,-0.23687744
0.122558594,-0.9702759,-0.16900635
-0.018554688,-0.7349243,-0.013244629
-0.039794922,-0.65802,0.11517334
-0.064453125,-0.7617798,0.08123779
0.0126953125,-1.0435181,0.13885498
0.024902344,-1.4414673,0.27288818
0.18359375,-1.2449341,-0.04547119
-0.046142578,-0.9561157,-0.09161377
-0.22143555,-0.75079346,-0.0647583
-0.13793945,-0.62384033,-0.04937744
-0.12915039,-0.7942505,-0.046691895
-0.17871094,-1.1384888,-0.13092041
-0.51123047,-1.5010376,-0.06964111
0.44189453,-1.1589966,-0.24957275
-0.001953125,-0.9644165,-0.017150879
-0.080322266,-0.7114868,0.06561279
-0.041015625,-0.647522,0.16229248
-0.09301758,-0.8526001,0.18377686
-0.04345703,-1.1221313,0.039733887
-0.09106445,-1.1489868,0.14593506
-0.045654297,-1.3862915,-0.012023926
-0.15039062,-0.9795532,-0.10455322
-0.20898438,-0.850647,0.051696777
