accelX,accelY,accelZ
-0.30859375,0.11932373,0.99993896
-0.31054688,0.11810303,0.9957886
-0.31079102,0.12322998,0.9996948
-0.31054688,0.11932373,1.0031128
-0.30444336,0.12445068,0.99676514
-0.3022461,0.13079834,0.9989624
-0.29248047,0.12884521,0.98724365
-0.3005371,0.13494873,1.0038452
-0.30932617,0.13909912,1.0011597
-0.30566406,0.13568115,1.0055542
-0.30078125,0.12786865,1.0050659
-0.30395508,0.13446045,1.0028687
-0.29956055,0.13763428,0.99627686
-0.29370117,0.13787842,0.99334717
-0.30004883,0.13494873,1.0031128
-0.2944336,0.14691162,1.0094604
-0.29003906,0.14715576,1.012146
-0.29296875,0.15789795,0.9957886
-0.29345703,0.13812256,1.0004272
-0.2902832,0.14959717,0.9940796
-0.29589844,0.13690186,1.0018921
-0.30151367,0.13543701,0.99920654
-0.30810547,0.13787842,0.9957886
-0.3034668,0.13031006,0.9977417
-0.3112793,0.13519287,0.9977417
-0.30786133,0.12249756,1.0072632
-0.3161621,0.117614746,1.0033569
-0.30688477,0.1317749,0.99993896
-0.30737305,0.13226318,1.0006714
-0.29638672,0.12347412,0.99627686
-0.30908203,0.12347412,0.98895264
-0.30810547,0.121520996,0.9882202
-0.31298828,0.11810303,1.0001831
-0.30737305,0.11834717,1.0043335
-0.30541992,0.12860107,1.0036011
-0.3071289,0.1293335,1.0101929
-0.30639648,0.12689209,0.9989624
-0.3083496,0.1239624,1.0018921
-0.3005371,0.11468506,1.0072632
-0.2980957,0.12982178,0.99505615
-0.31323242,0.13275146,0.9996948
-0.31054688,0.11834717,1.0033569
-0.30932617,0.11517334,0.9989624
-0.30444336,0.1251831,1.0011597
-0.3005371,0.11956787,0.9984741
-0.30786133,0.13812256,1.0036011
-0.30541992,0.12640381,0.9977417
-0.30395508,0.14154053,1.0040894
-0.29125977,0.13641357,1.001648
-0.2993164,0.13616943,1.0055542
-0.2980957,0.14520264,1.0040894
-0.29345703,0.14056396,0.9977417
-0.29858398,0.13323975,0.993103
-0.30419922,0.13665771,0.99749756
-0.29492188,0.13543701,1.0014038
-0.29736328,0.13934326,1.0021362
-0.29589844,0.14959717,1.0079956
-0.30322266,0.1383667,1.0136108
-0.29492188,0.15081787,0.9984741
-0.29101562,0.14837646,1.0067749
-0.2944336,0.14398193,0.99554443
-0.3005371,0.1437378,0.9923706
-0.29956055,0.13641357,0.9984741
-0.3083496,0.1281128,0.99627686
-0.30639648,0.12445068,0.9945679
-0.3083496,0.116882324,0.9945679
-0.30981445,0.11517334,1.0143433
-0.30493164,0.12860107,0.99505615
-0.31298828,0.1293335,0.99749756
-0.3071289,0.121520996,1.0031128
-0.30639648,0.117614746,0.9935913
-0.3095703,0.11883545,0.9970093
-0.31030273,0.121520996,0.99993896
-0.31152344,0.12176514,1.0023804
-0.31420898,0.124694824,0.99554443
-0.30419922,0.117614746,0.9945679
-0.3088379,0.12347412,0.9940796
-0.31298828,0.11199951,1.020935
-0.31054688,0.120788574,1.0031128
-0.30664062,0.12542725,0.9960327
-0.30541992,0.12054443,1.0023804
-0.3017578,0.124938965,0.9923706
-0.3017578,0.11810303,0.99017334
-0.3083496,0.12786865,0.99505615
-0.3095703,0.1227417,1.0006714
-0.30493164,0.12567139,1.0009155
-0.3022461,0.11590576,0.99334717
-0.3095703,0.12298584,1.007019
-0.30615234,0.12200928,1.0050659
-0.31201172,0.124938965,0.9996948
-0.30395508,0.13519287,1.0006714
-0.29296875,0.13519287,1.0011597
-0.29516602,0.14154053,1.0067749
