accelX,accelY,accelZ
-0.4831543,-0.15093994,-0.8128052
-0.48461914,-0.14483643,-0.81378174
-0.48217773,-0.14874268,-0.81451416
-0.48608398,-0.15167236,-0.81500244
-0.48339844,-0.15264893,-0.80841064
-0.48950195,-0.14727783,-0.8049927
-0.48901367,-0.15167236,-0.8101196
-0.49169922,-0.15045166,-0.80914307
-0.4909668,-0.15045166,-0.80718994
-0.48901367,-0.15509033,-0.80426025
-0.4921875,-0.15240479,-0.8040161
-0.49316406,-0.15093994,-0.8023071
-0.49389648,-0.14508057,-0.8040161
-0.4946289,-0.1494751,-0.8015747
-0.49560547,-0.14752197,-0.81256104
-0.48828125,-0.15093994,-0.8128052
-0.4951172,-0.14923096,-0.80255127
-0.5,-0.14752197,-0.80914307
-0.4975586,-0.14215088,-0.80474854
-0.50097656,-0.1506958,-0.80352783
-0.49072266,-0.14776611,-0.80718994
-0.49951172,-0.14996338,-0.8010864
-0.5046387,-0.14556885,-0.8052368
-0.4934082,-0.14727783,-0.8062134
-0.49291992,-0.144104,-0.8093872
-0.4951172,-0.14752197,-0.8115845
-0.48876953,-0.14776611,-0.8081665
-0.4880371,-0.14923096,-0.80548096
-0.49023438,-0.14117432,-0.80474854
-0.48828125,-0.14630127,-0.81256104
-0.4909668,-0.14239502,-0.8057251
-0.48876953,-0.13970947,-0.80718994
-0.49047852,-0.1416626,-0.8081665
-0.49316406,-0.14093018,-0.8110962
-0.48754883,-0.1428833,-0.80914307
-0.48632812,-0.14556885,-0.8140259
-0.4855957,-0.14117432,-0.8101196
-0.48779297,-0.14385986,-0.81329346
-0.48657227,-0.14483643,-0.8135376
-0.48461914,-0.14361572,-0.8064575
-0.48901367,-0.14678955,-0.8135376
-0.49169922,-0.14727783,-0.80352783
-0.49047852,-0.15045166,-0.8062134
-0.49121094,-0.14141846,-0.81134033
-0.4897461,-0.1453247,-0.8069458
-0.4963379,-0.14508057,-0.80963135
-0.4951172,-0.14874268,-0.8052368
-0.49780273,-0.14556885,-0.80426025
-0.49121094,-0.14483643,-0.80255127
-0.49853516,-0.14801025,-0.80670166
-0.49487305,-0.14678955,-0.8074341
-0.49731445,-0.14849854,-0.8062134
-0.49145508,-0.14678955,-0.8081665
-0.49658203,-0.14801025,-0.7998657
-0.5031738,-0.1519165,-0.8015747
-0.49658203,-0.14361572,-0.80303955
-0.48608398,-0.15020752,-0.802063
-0.4975586,-0.1519165,-0.80718994
-0.50341797,-0.1453247,-0.79815674
-0.49414062,-0.14703369,-0.79815674
-0.49804688,-0.14605713,-0.79766846
-0.49951172,-0.14654541,-0.80255127
-0.49414062,-0.14263916,-0.80303955
-0.4987793,-0.14361572,-0.81134033
-0.49365234,-0.15020752,-0.8167114
-0.4897461,-0.1428833,-0.7918091
-0.48608398,-0.14483643,-0.80133057
-0.49194336,-0.14190674,-0.8098755
-0.49072266,-0.14019775,-0.81085205
-0.4892578,-0.14019775,-0.8062134
-0.49023438,-0.1362915,-0.81500244
-0.4873047,-0.13970947,-0.81085205
-0.49194336,-0.13922119,-0.8088989
-0.48388672,-0.13800049,-0.8128052
-0.4892578,-0.14117432,-0.8123169
-0.48754883,-0.14093018,-0.8101196
-0.48876953,-0.14215088,-0.8015747
-0.48950195,-0.1404419,-0.81085205
-0.48828125,-0.1404419,-0.81134033
-0.4958496,-0.14508057,-0.81256104
-0.4975586,-0.13946533,-0.80352783
-0.5007324,-0.1482544,-0.80548096
-0.50341797,-0.144104,-0.803772
-0.49731445,-0.14605713,-0.8088989
-0.49951172,-0.14093018,-0.8045044
-0.50805664,-0.13800049,-0.81451416
-0.50756836,-0.14508057,-0.80474854
-0.50634766,-0.14508057,-0.7984009
-0.5070801,-0.1404419,-0.8040161
-0.50634766,-0.14654541,-0.80133057
-0.50268555,-0.14190674,-0.79888916
-0.50561523,-0.14483643,-0.79937744
-0.5061035,-0.144104,-0.79815674
-0.50268555,-0.14141846,-0.8074341
-0.50341797,-0.13848877,-0.8093872
-0.5053711,-0.14703369,-0.8049927
-0.51171875,-0.14459229,-0.79644775
-0.50561523,-0.15167236,-0.7984009
-0.5095215,-0.14434814,-0.800354
-0.5046387,-0.14312744,-0.7896118
-0.5083008,-0.14385986,-0.8064575
-0.49536133,-0.14776611,-0.7979126
-0.5031738,-0.14141846,-0.79644775
-0.5012207,-0.14312744,-0.800354
-0.5004883,-0.14630127,-0.79644775
-0.5007324,-0.14361572,-0.8032837
-0.49414062,-0.14849854,-0.8088989
-0.49975586,-0.14361572,-0.8064575
-0.49414062,-0.14263916,-0.803772
-0.49853516,-0.14581299,-0.80181885
-0.49023438,-0.14508057,-0.8015747
-0.4909668,-0.14483643,-0.80963135
-0.4897461,-0.14215088,-0.8023071
-0.49780273,-0.14019775,-0.803772
-0.49414062,-0.13824463,-0.8052368
-0.49487305,-0.1350708,-0.8074341
-0.49023438,-0.13067627,-0.8052368
-0.48901367,-0.1375122,-0.8118286
-0.49121094,-0.13336182,-0.80181885
-0.4946289,-0.13287354,-0.80914307
-0.49560547,-0.13531494,-0.80133057
-0.49267578,-0.13043213,-0.81207275
-0.5012207,-0.1338501,-0.8062134
-0.4963379,-0.12945557,-0.80474854
-0.49853516,-0.12530518,-0.8032837
-0.50512695,-0.1326294,-0.79766846
-0.50512695,-0.12945557,-0.8032837
-0.5073242,-0.12384033,-0.8027954
-0.50219727,-0.13653564,-0.8032837
-0.5078125,-0.13336182,-0.79888916
-0.51342773,-0.13238525,-0.8049927
-0.51416016,-0.13409424,-0.7962036
-0.5102539,-0.12530518,-0.79644775
-0.5144043,-0.1296997,-0.8023071
-0.5107422,-0.12823486,-0.79766846
-0.5151367,-0.1260376,-0.802063
-0.51708984,-0.12164307,-0.800354
-0.50878906,-0.12506104,-0.7984009
-0.5097656,-0.12408447,-0.7974243
-0.51660156,-0.12750244,-0.80059814
-0.50634766,-0.128479,-0.8023071
-0.5114746,-0.12554932,-0.7991333
-0.5070801,-0.12237549,-0.8027954
-0.5151367,-0.1272583,-0.79766846
-0.515625,-0.124816895,-0.79473877
-0.513916,-0.12896729,-0.7984009
-0.5126953,-0.13043213,-0.8010864
-0.5090332,-0.1296997,-0.80474854
-0.5119629,-0.13165283,-0.7998657
-0.50805664,-0.124816895,-0.80255127
-0.50878906,-0.12701416,-0.80133057
-0.5046387,-0.13214111,-0.8074341
-0.49951172,-0.13336182,-0.8052368
-0.5,-0.13555908,-0.7979126
-0.49951172,-0.13214111,-0.80841064
-0.50024414,-0.13922119,-0.80963135
-0.49121094,-0.13800049,-0.8101196
-0.49121094,-0.14190674,-0.80963135
-0.4885254,-0.1404419,-0.8128052
-0.49438477,-0.1375122,-0.80474854
-0.48754883,-0.14068604,-0.80963135
-0.4951172,-0.14019775,-0.8110962
-0.48779297,-0.13873291,-0.8015747
-0.48828125,-0.1404419,-0.8069458
-0.48583984,-0.14068604,-0.81329346
-0.49609375,-0.13726807,-0.81378174
-0.48828125,-0.14068604,-0.8064575
-0.4934082,-0.14508057,-0.81207275
-0.5,-0.144104,-0.8076782
-0.4868164,-0.144104,-0.8098755
-0.5007324,-0.14239502,-0.8140259
-0.5024414,-0.13726807,-0.79351807
-0.50927734,-0.13995361,-0.798645
-0.5007324,-0.1375122,-0.8076782
-0.50561523,-0.13555908,-0.80059814
-0.5007324,-0.13336182,-0.8027954
-0.5065918,-0.13677979,-0.8069458
