accelX,accelY,accelZ
0.46679688,-0.5725708,-0.7251587
0.4724121,-0.675354,-0.76446533
0.4736328,-0.72369385,-0.6494751
0.45166016,-0.5808716,-0.6038208
0.21801758,-0.39093018,-0.4368286
0.37890625,-0.5984497,-0.39093018
0.53222656,-1.3237915,-0.6531372
0.54956055,-2.0,-1.2625122
0.4086914,-0.9390259,-0.29864502
0.103515625,0.72088623,-0.051574707
0.042236328,-0.034729004,0.08270264
0.23925781,-0.06109619,-0.008117676
0.118652344,-1.4517212,-0.2930298
0.7910156,-2.0,-0.6687622
-0.10083008,-1.2605591,0.0014038086
0.11694336,0.51849365,0.07513428
0.10229492,0.043395996,-0.17095947
0.1003418,0.0446167,-0.0029907227
-0.2536621,-1.2080688,-0.56817627
0.30541992,-2.0,-0.80670166
0.001953125,-0.9973755,-0.5046997
-0.025390625,0.70843506,0.050964355
0.09472656,0.06976318,-0.06329346
0.02368164,0.0018920898,0.013122559
0.056152344,-0.7612915,-0.25201416
0.5402832,-2.0,-0.78448486
0.12084961,-2.0,-0.51348877
0.0017089844,-0.2210083,0.007751465
-0.05517578,0.15203857,-0.07940674
0.10229492,0.07293701,-0.038391113
-0.0017089844,-0.01763916,-0.0076293945
0.2902832,-2.0,-1.0706177
0.49487305,-2.0,-0.46588135
0.17700195,-0.65411377,-0.37921143
-0.045166016,0.43426514,0.024353027
0.017822266,0.0028686523,-0.09576416
-0.06201172,0.011413574,0.09197998
0.16430664,-0.7888794,0.012878418
-0.1027832,-2.0,-0.67510986
0.111572266,-2.0,-0.37530518
-0.064941406,0.018249512,0.2741089
-0.05517578,0.14202881,-0.21246338
0.06591797,0.06781006,-0.085998535
0.16821289,-0.02911377,-0.15997314
0.34692383,-2.0,-0.38604736
0.44018555,-2.0,-0.7180786
0.039794922,-0.756897,-0.32403564
0.11743164,0.52630615,0.07220459
0.14453125,0.039733887,-0.12701416
0.06616211,0.03338623,0.06756592
-0.1027832,-0.9199829,-0.5601196
0.49389648,-2.0,-0.4133911
0.06933594,-2.0,-0.70806885
-0.0087890625,-0.3591919,0.14642334
0.10595703,0.43572998,0.018005371
-0.13012695,-0.0178833,0.027770996
0.1328125,-0.1987915,-0.20440674
0.7023926,-2.0,-1.2578735
0.6335449,-2.0,-0.84259033
0.048339844,-0.8723755,-0.5183716
-0.005859375,0.36517334,0.20135498
-0.12768555,-0.023254395,0.090026855
0.056396484,-0.1795044,0.19378662
0.10888672,-0.9483032,-0.038879395
0.32202148,-2.0,-0.3899536
0.58154297,-2.0,-0.81573486
-0.068847656,-0.6428833,-0.097229004
-0.26538086,0.5153198,0.15032959
0.12475586,0.034118652,-0.07574463
0.01928711,-0.27667236,-0.07110596
0.4621582,-1.5730591,-0.84210205
0.5979004,-1.6050415,-0.9819946
0.32714844,-1.888977,-0.75079346
-0.028564453,-0.4043579,-0.22662354
-0.011230469,0.28460693,0.062438965
-0.05834961,-0.0044555664,0.17962646
0.05493164,-0.054992676,0.13079834
0.19824219,-1.2402954,-0.30377197
0.4658203,-2.0,-0.65411377
0.30419922,-2.0,-0.51690674
0.13330078,-0.16851807,0.4039917
0.15771484,0.22088623,-0.08111572
-0.06323242,0.07342529,0.08880615
0.2409668,-0.18121338,-0.14727783
1.7431641,-2.0,-1.3777466
