accelX,accelY,accelZ
-0.03515625,-0.9451294,-0.2666626
-0.028320312,-0.95318604,-0.26275635
-0.026367188,-0.9500122,-0.2588501
-0.032226562,-0.9522095,-0.25787354
-0.034423828,-0.96588135,-0.25030518
-0.030517578,-0.9536743,-0.25567627
-0.027832031,-0.9636841,-0.2630005
-0.031982422,-0.9534302,-0.25543213
-0.028564453,-0.9524536,-0.24835205
-0.035888672,-0.9727173,-0.25616455
-0.038330078,-0.9624634,-0.26104736
-0.028320312,-0.9534302,-0.2654419
-0.03100586,-0.95928955,-0.26275635
-0.03100586,-0.95269775,-0.26739502
-0.024414062,-0.9553833,-0.25787354
-0.03564453,-0.9595337,-0.2571411
-0.044921875,-0.9500122,-0.26348877
-0.040283203,-0.95928955,-0.25274658
-0.032714844,-0.9627075,-0.24517822
-0.022460938,-0.96295166,-0.23858643
-0.033203125,-0.96295166,-0.23931885
-0.03515625,-0.960022,-0.25030518
-0.033447266,-0.9558716,-0.25128174
-0.038085938,-0.96051025,-0.2498169
-0.036132812,-0.9517212,-0.25909424
-0.036132812,-0.96343994,-0.253479
-0.029052734,-0.9524536,-0.2576294
-0.028320312,-0.96417236,-0.25054932
-0.032226562,-0.9517212,-0.26202393
-0.03125,-0.9590454,-0.25445557
-0.03564453,-0.9678345,-0.2390747
-0.025146484,-0.94732666,-0.2571411
-0.029052734,-0.95196533,-0.2630005
-0.020263672,-0.9590454,-0.2576294
-0.015136719,-0.9507446,-0.2649536
-0.024658203,-0.954895,-0.2617798
-0.026855469,-0.9573364,-0.26739502
-0.026611328,-0.9475708,-0.26715088
-0.028808594,-0.9495239,-0.2744751
-0.020996094,-0.95269775,-0.2617798
-0.022460938,-0.95635986,-0.2703247
-0.020507812,-0.94122314,-0.27911377
-0.029785156,-0.9558716,-0.2720337
-0.032958984,-0.94903564,-0.26568604
-0.027832031,-0.9492798,-0.26837158
-0.028076172,-0.94610596,-0.26080322
-0.030761719,-0.9590454,-0.2642212
-0.030273438,-0.95806885,-0.27105713
-0.028564453,-0.9470825,-0.2805786
-0.029052734,-0.94976807,-0.2798462
-0.026611328,-0.94610596,-0.27789307
-0.02709961,-0.9512329,-0.27008057
-0.022460938,-0.9404907,-0.28448486
-0.03125,-0.94854736,-0.27423096
-0.025390625,-0.9483032,-0.26763916
-0.033691406,-0.95635986,-0.26519775
-0.030029297,-0.9495239,-0.26348877
-0.03125,-0.9585571,-0.2625122
-0.036621094,-0.96661377,-0.2559204
-0.030517578,-0.9522095,-0.25933838
-0.034423828,-0.954895,-0.25689697
-0.02734375,-0.9541626,-0.2612915
-0.022216797,-0.9607544,-0.25299072
-0.029296875,-0.9512329,-0.25543213
-0.024902344,-0.95440674,-0.25982666
-0.031982422,-0.9470825,-0.26446533
-0.030761719,-0.94976807,-0.26641846
-0.029296875,-0.94781494,-0.27593994
-0.026611328,-0.95391846,-0.26812744
-0.023925781,-0.9505005,-0.26055908
-0.026611328,-0.9546509,-0.2649536
-0.02368164,-0.95806885,-0.27008057
-0.026367188,-0.954895,-0.26715088
-0.022216797,-0.9492798,-0.270813
-0.021484375,-0.93414307,-0.28936768
-0.025146484,-0.9517212,-0.25616455
-0.022949219,-0.95806885,-0.26446533
-0.024902344,-0.9475708,-0.26739502
-0.017822266,-0.9536743,-0.26885986
-0.021972656,-0.94732666,-0.269104
-0.025146484,-0.95440674,-0.2678833
-0.022705078,-0.9607544,-0.2715454
-0.029296875,-0.954895,-0.26885986
-0.013916016,-0.9492798,-0.27130127
-0.023925781,-0.94903564,-0.2744751
-0.020019531,-0.9553833,-0.27642822
-0.01977539,-0.94781494,-0.27471924
-0.014160156,-0.9470825,-0.2703247
-0.016601562,-0.9378052,-0.28253174
-0.026611328,-0.9522095,-0.2649536
-0.019042969,-0.9558716,-0.27911377
-0.024414062,-0.94976807,-0.27008057
-0.01928711,-0.94610596,-0.27056885
-0.025390625,-0.9570923,-0.26031494
-0.026123047,-0.9522095,-0.26837158
-0.030029297,-0.95269775,-0.2642212
-0.024414062,-0.9390259,-0.3086548
-0.034179688,-0.94244385,-0.28204346
-0.026611328,-0.9573364,-0.27301025
-0.029785156,-0.94854736,-0.2732544
-0.017578125,-0.9507446,-0.28155518
-0.027832031,-0.9524536,-0.27618408
-0.027832031,-0.9470825,-0.2720337
-0.030761719,-0.9451294,-0.2805786
-0.026611328,-0.9470825,-0.28131104
-0.03149414,-0.95977783,-0.27642822
-0.026367188,-0.94659424,-0.27252197
-0.030273438,-0.9439087,-0.28375244
-0.028564453,-0.9624634,-0.25665283
-0.032226562,-0.95269775,-0.2654419
-0.03149414,-0.9573364,-0.2695923
-0.028808594,-0.9505005,-0.26812744
-0.024658203,-0.9483032,-0.26593018
-0.033447266,-0.9522095,-0.26715088
-0.022460938,-0.9546509,-0.26055908
-0.03881836,-0.9492798,-0.26324463
-0.032958984,-0.95880127,-0.2510376
-0.032226562,-0.96661377,-0.25958252
-0.028564453,-0.95025635,-0.2625122
-0.036621094,-0.96221924,-0.27178955
-0.033691406,-0.94903564,-0.26739502
-0.028076172,-0.94854736,-0.27130127
-0.029296875,-0.9573364,-0.2637329
-0.030517578,-0.9534302,-0.27374268
-0.026855469,-0.95635986,-0.26470947
-0.032714844,-0.9595337,-0.25787354
-0.018554688,-0.9368286,-0.28204346
-0.030029297,-0.9529419,-0.2781372
-0.031982422,-0.9487915,-0.28179932
-0.021240234,-0.958313,-0.27520752
-0.026367188,-0.93707275,-0.27105713
-0.01977539,-0.95562744,-0.27349854
-0.026367188,-0.9512329,-0.2732544
-0.022216797,-0.95318604,-0.270813
-0.0234375,-0.9553833,-0.2732544
-0.021972656,-0.95562744,-0.2769165
-0.020996094,-0.9522095,-0.26055908
-0.021972656,-0.9507446,-0.27764893
-0.0234375,-0.94976807,-0.2793579
-0.017333984,-0.94854736,-0.2715454
