accelX,accelY,accelZ
-0.6738281,-0.10040283,0.80877686
-0.67626953,-0.09576416,0.81414795
-0.6779785,-0.09844971,0.82440186
-0.6796875,-0.09503174,0.81463623
-0.6784668,-0.10015869,0.80999756
-0.67749023,-0.09844971,0.8151245
-0.6826172,-0.10650635,0.81463623
-0.6748047,-0.10015869,0.8095093
-0.673584,-0.10089111,0.8241577
-0.6738281,-0.09991455,0.8173218
-0.67700195,-0.09576416,0.8200073
-0.6765137,-0.09429932,0.8148804
-0.6784668,-0.10015869,0.8251343
-0.6760254,-0.10455322,0.81073
-0.6821289,-0.09820557,0.82733154
-0.6723633,-0.09454346,0.81536865
-0.67285156,-0.081848145,0.81585693
-0.6816406,-0.09698486,0.8209839
-0.6730957,-0.08770752,0.8217163
-0.67944336,-0.09429932,0.82196045
-0.68237305,-0.08013916,0.81829834
-0.6779785,-0.08892822,0.8185425
-0.6755371,-0.08306885,0.81707764
-0.6801758,-0.09112549,0.82073975
-0.6801758,-0.07867432,0.8163452
-0.68066406,-0.09112549,0.8156128
-0.670166,-0.08526611,0.81121826
-0.6755371,-0.089904785,0.8126831
-0.68188477,-0.09429932,0.81073
-0.67993164,-0.09307861,0.81829834
-0.67407227,-0.101867676,0.8131714
-0.6767578,-0.09649658,0.8185425
-0.6699219,-0.10333252,0.8148804
-0.6750488,-0.09942627,0.81243896
-0.6791992,-0.09918213,0.8187866
-0.673584,-0.10040283,0.81707764
-0.6791992,-0.10015869,0.8251343
-0.67529297,-0.093322754,0.81658936
-0.6767578,-0.097229004,0.822937
-0.66674805,-0.097961426,0.821228
-0.66918945,-0.09552002,0.8173218
-0.67578125,-0.101135254,0.8148804
-0.67089844,-0.093566895,0.8204956
-0.67407227,-0.10089111,0.81536865
-0.6657715,-0.0947876,0.8192749
-0.6665039,-0.108947754,0.8209839
-0.67163086,-0.097229004,0.82025146
-0.6777344,-0.10675049,0.8251343
-0.6677246,-0.09918213,0.8265991
-0.6645508,-0.101379395,0.82855225
-0.6743164,-0.09991455,0.8226929
-0.6730957,-0.0947876,0.8258667
-0.66967773,-0.10235596,0.81658936
-0.66308594,-0.105773926,0.82684326
-0.6694336,-0.10797119,0.82025146
-0.6713867,-0.094055176,0.8287964
-0.67041016,-0.10992432,0.822937
-0.6687012,-0.10357666,0.83026123
-0.66967773,-0.097717285,0.82611084
-0.6730957,-0.09625244,0.8175659
-0.6669922,-0.09283447,0.83270264
-0.6743164,-0.09869385,0.8204956
-0.66503906,-0.09698486,0.8239136
-0.6699219,-0.09967041,0.8185425
-0.66918945,-0.08648682,0.82611084
-0.67089844,-0.08746338,0.8187866
-0.6713867,-0.08795166,0.8275757
-0.67407227,-0.08673096,0.82562256
-0.670166,-0.09063721,0.8197632
-0.67089844,-0.089660645,0.8204956
-0.67211914,-0.086242676,0.8156128
-0.66845703,-0.08306885,0.82366943
-0.67529297,-0.09039307,0.82147217
-0.67944336,-0.07965088,0.82147217
-0.6772461,-0.09039307,0.8126831
-0.6779785,-0.085998535,0.8192749
-0.6816406,-0.08843994,0.8175659
-0.6723633,-0.09234619,0.826355
-0.6767578,-0.09088135,0.821228
-0.6765137,-0.09454346,0.8204956
-0.671875,-0.0947876,0.81829834
-0.67163086,-0.10015869,0.8241577
-0.67529297,-0.09234619,0.81951904
-0.67089844,-0.09649658,0.8239136
-0.671875,-0.0947876,0.82611084
-0.6660156,-0.10406494,0.82611084
-0.6669922,-0.09649658,0.8226929
-0.6669922,-0.09649658,0.82366943
-0.670166,-0.10308838,0.81829834
-0.6723633,-0.10406494,0.82196045
-0.66918945,-0.10601807,0.8258667
-0.66381836,-0.105285645,0.8173218
-0.6621094,-0.10675049,0.822937
-0.6594238,-0.10040283,0.82489014
-0.6672363,-0.105773926,0.82196045
-0.67333984,-0.10211182,0.8197632
-0.6621094,-0.09576416,0.8197632
-0.66748047,-0.10015869,0.8278198
-0.6660156,-0.10357666,0.8204956
-0.6594238,-0.10479736,0.81903076
-0.66918945,-0.11187744,0.8241577
-0.66503906,-0.097473145,0.8253784
-0.66918945,-0.09698486,0.8239136
-0.66503906,-0.10235596,0.83148193
-0.6652832,-0.09698486,0.82073975
-0.66967773,-0.09136963,0.8217163
-0.66674805,-0.09844971,0.82562256
-0.6699219,-0.09918213,0.8331909
-0.67333984,-0.085754395,0.8126831
-0.6657715,-0.09136963,0.8265991
-0.6689453,-0.09454346,0.822937
-0.6760254,-0.08502197,0.8222046
-0.66674805,-0.09039307,0.8204956
-0.6730957,-0.09283447,0.8290405
-0.66674805,-0.09259033,0.8241577
-0.6755371,-0.08331299,0.82440186
-0.66918945,-0.08526611,0.82073975
-0.6760254,-0.090148926,0.8180542
-0.67163086,-0.07598877,0.8143921
-0.671875,-0.07989502,0.8192749
-0.67749023,-0.08282471,0.822937
-0.6801758,-0.0803833,0.822937
-0.6726074,-0.08843994,0.8173218
-0.6809082,-0.08380127,0.8185425
-0.673584,-0.09698486,0.821228
-0.6755371,-0.09136963,0.8175659
-0.67626953,-0.093322754,0.81658936
-0.67871094,-0.09967041,0.8217163
-0.67089844,-0.089660645,0.8234253
-0.6755371,-0.09552002,0.8192749
-0.671875,-0.10406494,0.8197632
-0.6711426,-0.09429932,0.8209839
-0.6726074,-0.101379395,0.8197632
-0.6640625,-0.10455322,0.81707764
-0.67041016,-0.10406494,0.81903076
-0.6677246,-0.097961426,0.824646
-0.6647949,-0.10211182,0.8270874
-0.6694336,-0.11260986,0.8239136
-0.6706543,-0.0947876,0.82440186
-0.66748047,-0.097473145,0.8251343
-0.6699219,-0.117004395,0.82147217
-0.66796875,-0.09649658,0.8270874
-0.66674805,-0.11431885,0.8239136
-0.6694336,-0.109191895,0.83343506
-0.66845703,-0.10406494,0.8258667
-0.6672363,-0.097961426,0.8283081
-0.67089844,-0.10430908,0.8258667
-0.65966797,-0.11114502,0.83026123
-0.6682129,-0.101379395,0.8226929
-0.67163086,-0.093566895,0.8290405
-0.6682129,-0.10089111,0.82806396
-0.6687012,-0.10699463,0.82244873
-0.67333984,-0.09991455,0.8251343
-0.67041016,-0.101379395,0.8187866
-0.6699219,-0.097229004,0.82489014
-0.6706543,-0.09429932,0.8278198
-0.6706543,-0.09698486,0.8200073
-0.66625977,-0.09918213,0.8270874
-0.6706543,-0.09698486,0.8222046
-0.66186523,-0.08135986,0.82073975
-0.66552734,-0.08843994,0.8234253
-0.6713867,-0.101867676,0.8187866
-0.67456055,-0.08526611,0.824646
-0.6706543,-0.094055176,0.81707764
-0.6750488,-0.090148926,0.8290405
-0.6689453,-0.089904785,0.8287964
-0.6694336,-0.0881958,0.8192749
-0.6713867,-0.0869751,0.8222046
-0.6699219,-0.09112549,0.82025146
-0.6750488,-0.08746338,0.81829834
-0.66967773,-0.09136963,0.81781006
-0.67089844,-0.097961426,0.8226929
-0.6784668,-0.089416504,0.8222046
-0.6706543,-0.09918213,0.824646
-0.66381836,-0.09649658,0.8317261
-0.6677246,-0.10650635,0.8222046
-0.670166,-0.09283447,0.824646
-0.66845703,-0.1026001,0.82684326
-0.67333984,-0.10040283,0.8265991
-0.6623535,-0.10235596,0.82489014
-0.66259766,-0.09991455,0.81781006
-0.6706543,-0.11260986,0.8234253
-0.6713867,-0.09649658,0.8239136
-0.6647949,-0.10015869,0.8287964
-0.6652832,-0.10870361,0.83392334
-0.6672363,-0.1038208,0.8290405
-0.67089844,-0.10333252,0.8287964
-0.6660156,-0.09967041,0.82928467
-0.66796875,-0.109436035,0.82196045
-0.66918945,-0.10064697,0.8324585
-0.66430664,-0.10211182,0.8312378
-0.6604004,-0.10089111,0.82855225
-0.66015625,-0.11114502,0.82318115
-0.66503906,-0.0947876,0.8251343
-0.6628418,-0.09893799,0.83392334
-0.6635742,-0.09991455,0.83465576
-0.66748047,-0.101135254,0.821228
-0.6594238,-0.097717285,0.82244873
-0.66137695,-0.093322754,0.8187866
-0.6665039,-0.09893799,0.8253784
-0.66845703,-0.097473145,0.81829834
-0.66552734,-0.09527588,0.826355
-0.67993164,-0.10308838,0.82489014
-0.6628418,-0.0881958,0.8226929
-0.67285156,-0.09259033,0.8217163
-0.6660156,-0.09185791,0.82733154
-0.6706543,-0.0960083,0.8234253
-0.66845703,-0.0869751,0.8185425
-0.6621094,-0.09112549,0.82318115
-0.6687012,-0.09307861,0.82073975
-0.66503906,-0.09063721,0.8192749
-0.6652832,-0.08062744,0.82684326
-0.6743164,-0.09820557,0.8161011
-0.6694336,-0.09576416,0.8226929
-0.66674805,-0.08843994,0.8197632
-0.6635742,-0.101867676,0.822937
-0.6713867,-0.097961426,0.8265991
-0.66625977,-0.10308838,0.8234253
-0.6660156,-0.10211182,0.8239136
-0.6621094,-0.10723877,0.8278198
-0.6660156,-0.09527588,0.8163452
-0.6628418,-0.11016846,0.8239136
-0.6647949,-0.10235596,0.82562256
-0.66625977,-0.10357666,0.82562256
-0.66381836,-0.10675049,0.82196045
-0.6652832,-0.101867676,0.82733154
-0.65625,-0.10699463,0.82733154
-0.6633301,-0.10650635,0.8305054
-0.65893555,-0.10357666,0.81951904
-0.6604004,-0.101867676,0.82855225
-0.65649414,-0.105773926,0.8312378
-0.6633301,-0.11138916,0.8217163
-0.6652832,-0.10626221,0.82366943
-0.6594238,-0.11383057,0.8283081
-0.6582031,-0.10455322,0.83514404
-0.6628418,-0.10601807,0.82196045
-0.6660156,-0.09942627,0.83026123
-0.6604004,-0.109191895,0.8290405
-0.6682129,-0.10748291,0.82611084
-0.66552734,-0.09283447,0.8290405
-0.66381836,-0.1038208,0.8278198
-0.66259766,-0.10015869,0.83026123
-0.6652832,-0.09136963,0.8253784
-0.66430664,-0.101623535,0.8180542
-0.66430664,-0.097229004,0.8278198
-0.6713867,-0.09063721,0.8258667
-0.6652832,-0.09112549,0.8226929
-0.6628418,-0.09869385,0.8200073
-0.6628418,-0.09918213,0.8258667
-0.6682129,-0.094055176,0.8200073
-0.6738281,-0.08502197,0.82562256
-0.6750488,-0.09136963,0.82244873
-0.66845703,-0.09210205,0.8222046
-0.6672363,-0.08087158,0.8287964
-0.6657715,-0.09161377,0.82196045
-0.67163086,-0.09136963,0.82196045
-0.67285156,-0.0960083,0.82318115
-0.6682129,-0.082336426,0.8226929
-0.6645508,-0.09039307,0.82440186
