accelX,accelY,accelZ
0.6425781,-0.061828613,0.7157593
0.6381836,-0.061828613,0.72943115
0.6333008,-0.06036377,0.6786499
0.7375488,-0.1404419,0.7069702
0.7312012,-0.13360596,0.68084717
0.74316406,-0.09698486,0.7284546
0.63549805,-0.06451416,0.7091675
0.6555176,-0.070617676,0.68011475
0.6791992,-0.08502197,0.69403076
0.6828613,-0.12921143,0.6376343
0.6608887,-0.070617676,0.7301636
0.64697266,-0.06573486,0.64837646
0.73095703,-0.14141846,0.6520386
0.7480469,-0.14459229,0.7416382
0.69873047,-0.07550049,0.6696167
0.6520996,-0.07330322,0.68914795
0.6711426,-0.08746338,0.65838623
0.73217773,-0.12554932,0.6564331
0.75146484,-0.1585083,0.75408936
0.71777344,-0.077941895,0.6600952
0.6538086,-0.07281494,0.6893921
0.6779785,-0.08892822,0.6547241
0.7385254,-0.144104,0.71673584
0.7307129,-0.15338135,0.6889038
0.8000488,-0.09307861,0.7243042
0.65844727,-0.058654785,0.68963623
0.6628418,-0.07354736,0.6432495
0.73339844,-0.13970947,0.7055054
0.69799805,-0.1482544,0.68621826
0.7355957,-0.06915283,0.68133545
0.64941406,-0.06842041,0.7081909
0.6594238,-0.07281494,0.6564331
0.7368164,-0.124816895,0.6415405
0.748291,-0.14361572,0.7382202
0.7385254,-0.07598877,0.6498413
0.66064453,-0.08013916,0.6947632
0.6801758,-0.07745361,0.66522217
0.7355957,-0.093322754,0.6268921
0.7338867,-0.13311768,0.7218628
0.7175293,-0.074523926,0.65789795
0.66137695,-0.074279785,0.6923218
0.689209,-0.06768799,0.682312
0.72387695,-0.11846924,0.6625366
0.7416992,-0.12774658,0.7189331
0.67944336,-0.050842285,0.67840576
0.63964844,-0.06524658,0.7128296
0.6687012,-0.062072754,0.6635132
0.7585449,-0.1375122,0.6923218
0.72265625,-0.12677002,0.7255249
0.73046875,-0.07281494,0.6898804
0.6467285,-0.06329346,0.7020874
0.6574707,-0.06719971,0.7133179
0.71655273,-0.109436035,0.66741943
0.74560547,-0.11090088,0.67059326
0.7426758,-0.10430908,0.73114014
0.71899414,-0.065979004,0.66937256
0.6669922,-0.06793213,0.699646
0.6730957,-0.058410645,0.727478
0.70703125,-0.08404541,0.6889038
0.7229004,-0.10845947,0.68499756
0.75512695,-0.12506104,0.7067261
0.71899414,-0.07159424,0.6654663
0.68652344,-0.07110596,0.6959839
0.6748047,-0.0803833,0.64056396
0.75146484,-0.12799072,0.6959839
0.73413086,-0.11480713,0.63739014
0.7717285,-0.105773926,0.7445679
0.66308594,-0.05621338,0.67401123
0.673584,-0.077697754,0.68084717
0.7121582,-0.13067627,0.65423584
