accelX,accelY,accelZ
-0.5422363,-0.45928955,-0.7085571
-0.5456543,-0.46051025,-0.72076416
-0.54467773,-0.46051025,-0.70928955
-0.545166,-0.4656372,-0.7144165
-0.5541992,-0.45855713,-0.71759033
-0.55029297,-0.4595337,-0.7136841
-0.5410156,-0.45733643,-0.7114868
-0.54418945,-0.45855713,-0.7144165
-0.5390625,-0.45855713,-0.7180786
-0.5419922,-0.45440674,-0.7210083
-0.5480957,-0.45147705,-0.7163696
-0.5410156,-0.45733643,-0.71661377
-0.5439453,-0.45928955,-0.71710205
-0.5354004,-0.44952393,-0.7173462
-0.5449219,-0.45587158,-0.72491455
-0.53637695,-0.45343018,-0.7280884
-0.5515137,-0.4578247,-0.7229614
-0.5397949,-0.4348755,-0.7073364
-0.53930664,-0.4541626,-0.7214966
-0.5349121,-0.45220947,-0.72003174
-0.54663086,-0.45074463,-0.72247314
-0.54248047,-0.4505005,-0.7268677
-0.5358887,-0.45635986,-0.72003174
-0.5341797,-0.4463501,-0.72491455
-0.53686523,-0.4517212,-0.7251587
-0.53564453,-0.45367432,-0.71466064
-0.5344238,-0.4541626,-0.7280884
-0.53808594,-0.45098877,-0.7271118
-0.53100586,-0.44952393,-0.7312622
-0.529541,-0.44683838,-0.7246704
-0.53466797,-0.44073486,-0.7319946
-0.5415039,-0.44122314,-0.73321533
-0.5407715,-0.4373169,-0.73028564
-0.5473633,-0.4414673,-0.72662354
-0.5505371,-0.4500122,-0.7168579
-0.56030273,-0.44537354,-0.7319946
-0.54541016,-0.44830322,-0.70391846
-0.5427246,-0.44659424,-0.7246704
-0.5595703,-0.44830322,-0.73101807
-0.55029297,-0.4529419,-0.7197876
-0.5385742,-0.44781494,-0.7283325
-0.5402832,-0.44903564,-0.722229
-0.5395508,-0.4505005,-0.72662354
-0.53686523,-0.4446411,-0.7263794
-0.54345703,-0.44708252,-0.7293091
-0.53564453,-0.43829346,-0.722229
-0.532959,-0.45147705,-0.7251587
-0.5324707,-0.43463135,-0.71710205
-0.5397949,-0.4492798,-0.73028564
-0.54296875,-0.44610596,-0.73321533
-0.5422363,-0.4446411,-0.7246704
-0.53759766,-0.4451294,-0.7241821
-0.5407715,-0.44683838,-0.7280884
-0.53759766,-0.44293213,-0.7280884
-0.5407715,-0.4451294,-0.7385864
-0.53222656,-0.44049072,-0.72540283
-0.5410156,-0.4439087,-0.7307739
-0.53564453,-0.4434204,-0.7251587
-0.5493164,-0.44244385,-0.7337036
-0.54589844,-0.4421997,-0.7280884
-0.54052734,-0.44683838,-0.722229
-0.5361328,-0.44244385,-0.72369385
-0.53686523,-0.4434204,-0.7329712
-0.5419922,-0.43951416,-0.73223877
-0.5378418,-0.44537354,-0.73223877
-0.5307617,-0.4439087,-0.7307739
-0.53393555,-0.44854736,-0.73321533
-0.53393555,-0.43902588,-0.7283325
-0.5324707,-0.44415283,-0.7305298
-0.53466797,-0.43707275,-0.72979736
-0.5383301,-0.4421997,-0.74005127
-0.5427246,-0.43951416,-0.73272705
-0.5354004,-0.4348755,-0.72906494
-0.5437012,-0.44171143,-0.7234497
-0.5456543,-0.4434204,-0.72906494
-0.5288086,-0.43878174,-0.7161255
-0.53808594,-0.44024658,-0.73931885
-0.52246094,-0.44073486,-0.71343994
-0.53466797,-0.4512329,-0.7498169
-0.5300293,-0.4541626,-0.72491455
-0.5241699,-0.4434204,-0.7307739
-0.5241699,-0.44439697,-0.7268677
-0.5317383,-0.45343018,-0.741272
-0.53222656,-0.4451294,-0.7280884
-0.53222656,-0.44586182,-0.73687744
-0.5258789,-0.44805908,-0.7295532
-0.5263672,-0.44903564,-0.73028564
-0.5349121,-0.44732666,-0.736145
-0.5253906,-0.44610596,-0.73321533
-0.52490234,-0.442688,-0.7337036
-0.5349121,-0.44830322,-0.7307739
-0.5317383,-0.45196533,-0.7312622
-0.5209961,-0.44732666,-0.73760986
-0.5280762,-0.44805908,-0.73223877
-0.52124023,-0.4451294,-0.737854
-0.5300293,-0.44586182,-0.7337036
-0.53125,-0.44952393,-0.73883057
-0.53271484,-0.4421997,-0.7398071
-0.5270996,-0.44195557,-0.7305298
-0.52001953,-0.45220947,-0.7359009
-0.52490234,-0.44732666,-0.7317505
-0.5275879,-0.4492798,-0.74102783
-0.52246094,-0.44488525,-0.7424927
-0.5241699,-0.4434204,-0.7346802
-0.5266113,-0.440979,-0.72979736
-0.5283203,-0.4463501,-0.73565674
-0.5266113,-0.44439697,-0.7439575
-0.5202637,-0.44293213,-0.73516846
-0.5202637,-0.43634033,-0.73028564
-0.53125,-0.44073486,-0.76568604
-0.53027344,-0.442688,-0.74591064
-0.53222656,-0.43804932,-0.7280884
-0.5361328,-0.4348755,-0.7373657
-0.52124023,-0.44171143,-0.72125244
-0.53271484,-0.44781494,-0.75860596
-0.5251465,-0.44171143,-0.7334595
-0.5270996,-0.44244385,-0.7481079
-0.51123047,-0.43756104,-0.73101807
-0.5234375,-0.4397583,-0.736145
-0.5144043,-0.44293213,-0.74468994
-0.5229492,-0.44415283,-0.74957275
-0.5197754,-0.44903564,-0.75128174
-0.5187988,-0.43804932,-0.7415161
-0.5187988,-0.44610596,-0.7427368
-0.5241699,-0.4487915,-0.7390747
-0.52197266,-0.4414673,-0.74835205
-0.5126953,-0.43951416,-0.7424927
-0.5151367,-0.43902588,-0.7449341
-0.5241699,-0.440979,-0.74224854
-0.51708984,-0.44732666,-0.7444458
-0.51953125,-0.4451294,-0.7505493
-0.51464844,-0.4434204,-0.7437134
-0.5151367,-0.4451294,-0.73638916
-0.5246582,-0.44708252,-0.7424927
-0.5222168,-0.4463501,-0.7468872
-0.5185547,-0.44195557,-0.74224854
-0.51538086,-0.44171143,-0.7456665
-0.5163574,-0.44024658,-0.73760986
-0.50805664,-0.44073486,-0.74957275
-0.51538086,-0.44073486,-0.7407837
-0.52490234,-0.44000244,-0.74224854
-0.5234375,-0.442688,-0.75006104
-0.51782227,-0.4451294,-0.7424927
-0.5131836,-0.4451294,-0.741272
-0.5214844,-0.4475708,-0.74835205
-0.5239258,-0.43780518,-0.74542236
-0.5319824,-0.43048096,-0.74786377
-0.5270996,-0.43511963,-0.7349243
-0.5385742,-0.43414307,-0.7373657
-0.53759766,-0.43927002,-0.739563
-0.5168457,-0.44610596,-0.7246704
-0.5283203,-0.4439087,-0.74664307
-0.5305176,-0.4397583,-0.7473755
-0.5214844,-0.44488525,-0.7493286
-0.51953125,-0.44073486,-0.7390747
-0.5258789,-0.44708252,-0.73883057
-0.51831055,-0.43585205,-0.74053955
-0.52124023,-0.44244385,-0.7390747
-0.5229492,-0.44610596,-0.7424927
-0.51782227,-0.4446411,-0.7576294
-0.5239258,-0.44854736,-0.7420044
-0.5209961,-0.4463501,-0.74102783
-0.5180664,-0.44659424,-0.7444458
-0.51953125,-0.4451294,-0.7490845
-0.5192871,-0.44000244,-0.74420166
-0.5185547,-0.440979,-0.7390747
-0.5214844,-0.44952393,-0.7373657
-0.51708984,-0.4446411,-0.7402954
-0.5168457,-0.4487915,-0.74298096
-0.52001953,-0.44293213,-0.74005127
-0.51660156,-0.44366455,-0.7341919
-0.5151367,-0.44488525,-0.73883057
-0.51220703,-0.44854736,-0.74224854
-0.5185547,-0.4434204,-0.7481079
-0.5217285,-0.44781494,-0.74346924
-0.5136719,-0.44586182,-0.739563
-0.5136719,-0.44171143,-0.7390747
-0.5163574,-0.4505005,-0.739563
